mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
43;2029;;8.3;2.15;42.2;35.7;2544;0;0.244;0.444;1.0;792;0.454;
44;2029;;8.3;2.15;48.4;35.7;2544;0;0.246;0.444;1.0;792;0.454;
45;2029;;8.3;2.15;54.5;35.7;2544;0;0.247;0.444;1.0;792;0.454;
46;2029;;8.3;2.15;60.7;35.7;2544;0;0.249;0.444;1.0;792;0.454;
47;2029;;8.3;2.15;66.9;35.7;2544;0;0.25;0.444;1.0;792;0.454;
48;2030;;8.3;2.15;73.1;35.7;2544;0;0.251;0.444;1.0;792;0.454;
49;2030;;8.3;2.15;79.3;35.7;2544;0;0.253;0.444;1.0;792;0.454;
50;2030;;8.3;2.15;85.5;35.7;2544;0;0.254;0.444;1.0;792;0.454;
51;2030;;8.3;2.15;91.7;35.7;2544;0;0.256;0.444;1.0;792;0.454;
52;2030;;8.3;2.15;97.8;35.7;2544;0;0.257;0.444;1.0;792;0.454;
53;2030;;8.3;2.15;104.0;35.7;2544;0;0.259;0.444;1.0;792;0.454;
54;2030;;8.3;2.15;110.2;35.7;2544;0;0.26;0.444;1.0;792;0.454;
55;2030;;8.3;2.15;116.4;35.7;2544;0;0.261;0.444;1.0;792;0.454;
56;2030;;8.3;2.15;122.6;35.7;2544;0;0.263;0.444;1.0;792;0.454;
57;2030;;8.3;2.15;128.8;35.7;2544;0;0.264;0.444;1.0;792;0.454;
58;2030;;8.3;2.15;135.0;35.7;2544;0;0.266;0.444;1.0;792;0.454;
59;2030;;8.3;2.15;141.1;35.7;2544;0;0.267;0.444;1.0;792;0.454;
60;2031;;8.3;2.15;147.3;35.7;2544;0;0.269;0.444;1.0;792;0.454;
