mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
24;2028;;8.3;7.32;113.1;52.0;2544;0;0.201;0.593;1.0;3371;0.433;
25;2028;;8.3;7.32;114.1;52.0;2544;0;0.201;0.593;1.0;3371;0.435;
26;2028;;8.3;7.32;115.2;52.0;2544;0;0.201;0.593;1.0;3371;0.437;
27;2028;;8.3;7.32;116.2;52.0;2544;0;0.201;0.593;1.0;3371;0.439;
28;2028;;8.3;7.32;117.2;52.0;2544;0;0.201;0.593;1.0;3371;0.44;
29;2028;;8.3;7.32;118.2;52.0;2544;0;0.201;0.593;1.0;3371;0.442;
30;2028;on plante là où c'est déjà large, sans rien retirer à personne  ⚠ plein effet au mois 93, après la fin de la partie;8.3;7.97;118.5;51.0;2544;0;0.201;0.593;1.0;3371;0.444;
31;2028;;8.3;7.97;118.9;51.0;2544;0;0.201;0.593;1.0;3371;0.446;
32;2028;;8.3;7.97;119.3;51.0;2544;0;0.201;0.593;1.0;3371;0.448;
33;2028;;8.3;7.97;119.6;51.0;2544;0;0.201;0.593;1.0;3371;0.45;
34;2028;;8.3;7.97;120.0;51.0;2544;0;0.202;0.593;1.0;3371;0.452;
35;2028;;8.3;7.97;120.4;51.0;2544;0;0.203;0.593;1.0;3371;0.454;
36;2029;;8.3;0.65;128.0;51.0;2544;0;0.203;0.593;1.0;3371;0.456;
37;2029;;8.3;0.65;135.7;51.0;2544;0;0.204;0.593;1.0;3371;0.456;
38;2029;;8.3;0.65;143.4;51.0;2544;0;0.205;0.593;1.0;3371;0.456;
39;2029;;8.3;0.65;151.1;51.0;2544;0;0.205;0.593;1.0;3371;0.456;
40;2029;;8.3;0.65;158.8;51.0;2544;0;0.206;0.593;1.0;3371;0.456;
41;2029;;8.3;0.65;166.5;51.0;2544;0;0.206;0.593;1.0;3371;0.456;
42;2029;;8.3;0.65;174.2;51.0;2544;0;0.207;0.593;1.0;3371;0.456;
43;2029;;8.3;0.65;181.9;51.0;2544;0;0.208;0.593;1.0;3371;0.456;
44;2029;;8.3;0.65;189.5;51.0;2544;0;0.208;0.593;1.0;3371;0.456;
45;2029;;8.3;0.65;197.2;51.0;2544;0;0.209;0.593;1.0;3371;0.456;
46;2029;;8.3;0.65;204.9;51.0;2544;0;0.21;0.593;1.0;3371;0.456;
47;2029;;8.3;0.65;212.6;51.0;2544;0;0.21;0.593;1.0;3371;0.456;
48;2030;;8.3;0.65;220.3;51.0;2544;0;0.211;0.593;1.0;3371;0.456;
49;2030;;8.3;0.65;228.0;51.0;2544;0;0.212;0.593;1.0;3371;0.456;
50;2030;;8.3;0.65;235.7;51.0;2544;0;0.212;0.593;1.0;3371;0.456;
51;2030;;8.3;0.65;243.3;51.0;2544;0;0.213;0.593;1.0;3371;0.456;
52;2030;;8.3;0.65;251.0;51.0;2544;0;0.214;0.593;1.0;3371;0.456;
53;2030;;8.3;0.65;258.7;51.0;2544;0;0.214;0.593;1.0;3371;0.456;
54;2030;;8.3;0.65;266.4;51.0;2544;0;0.215;0.593;1.0;3371;0.456;
55;2030;;8.3;0.65;274.1;51.0;2544;0;0.216;0.593;1.0;3371;0.456;
56;2030;;8.3;0.65;281.8;51.0;2544;0;0.216;0.593;1.0;3371;0.456;
57;2030;;8.3;0.65;289.5;51.0;2544;0;0.217;0.593;1.0;3371;0.456;
58;2030;;8.3;0.65;297.2;51.0;2544;0;0.218;0.593;1.0;3371;0.456;
59;2030;;8.3;0.65;304.8;51.0;2544;0;0.218;0.593;1.0;3371;0.456;
60;2031;;8.3;0.65;312.5;51.0;2544;0;0.219;0.593;1.0;3371;0.456;
