mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
24;2028;;8.3;1.54;181.3;32.7;2544;0;0.201;0.593;1.0;1652;0.43;
25;2028;;8.3;1.54;188.1;32.7;2544;0;0.201;0.593;1.0;1222;0.435;
26;2028;;8.3;0.0;196.4;32.7;2544;0;0.201;0.593;1.0;792;0.441;
27;2028;;8.3;0.0;204.7;32.7;2544;0;0.201;0.593;1.0;792;0.441;
28;2028;;8.3;0.0;213.1;32.7;2544;0;0.201;0.593;1.0;792;0.441;
29;2028;;8.3;0.0;221.4;32.7;2544;0;0.201;0.593;1.0;792;0.441;
30;2028;les noues;8.3;10.4;219.3;30.7;2544;0;0.201;0.593;1.0;792;0.441;
31;2028;;8.3;10.4;217.3;30.7;2544;0;0.201;0.593;1.0;792;0.441;
32;2028;;8.3;10.4;215.2;30.7;2544;0;0.201;0.593;1.0;792;0.441;
33;2028;;8.3;10.4;213.1;30.7;2544;0;0.201;0.593;1.0;792;0.441;
34;2028;;8.3;10.4;211.1;30.7;2544;0;0.201;0.593;1.0;792;0.441;
35;2028;;8.3;10.4;209.0;30.7;2544;0;0.201;0.593;1.0;792;0.441;
36;2029;;8.3;10.4;206.9;30.7;2544;0;0.201;0.584;1.0;792;0.441;
37;2029;;8.3;10.4;204.9;30.7;2544;0;0.201;0.574;1.0;792;0.441;
38;2029;;8.3;10.4;202.8;30.7;2544;0;0.201;0.566;1.0;792;0.441;
39;2029;;8.3;10.4;200.7;30.7;2544;0;0.201;0.558;1.0;792;0.441;
40;2029;;8.3;10.4;198.7;30.7;2544;0;0.201;0.549;1.0;792;0.441;
41;2029;;8.3;10.4;196.6;30.7;2544;0;0.201;0.541;1.0;792;0.441;
42;2029;;8.3;10.4;194.5;30.7;2544;0;0.201;0.533;1.0;792;0.441;
43;2029;;8.3;10.4;192.5;30.7;2544;0;0.201;0.525;1.0;792;0.441;
44;2029;;8.3;10.4;190.4;30.7;2544;0;0.201;0.517;1.0;792;0.441;
45;2029;;8.3;10.4;188.3;30.7;2544;0;0.201;0.508;1.0;792;0.441;
46;2029;;8.3;10.4;186.3;30.7;2544;0;0.201;0.5;1.0;792;0.441;
47;2029;;8.3;10.4;184.2;30.7;2544;0;0.201;0.492;1.0;792;0.441;
48;2030;et la rénovation thermique s'il reste du budget  ⚠ plein effet au mois 72, après la fin de la partie;8.3;16.74;175.8;32.7;2544;0;0.201;0.484;1.0;792;0.441;
49;2030;;8.3;16.74;167.4;32.7;2544;0;0.201;0.476;1.0;792;0.441;
50;2030;;8.3;16.74;159.0;32.7;2544;0;0.201;0.468;1.0;792;0.441;
51;2030;;8.3;16.74;150.6;32.7;2544;0;0.201;0.46;1.0;792;0.441;
52;2030;;8.3;16.74;142.2;32.7;2544;0;0.201;0.452;1.0;792;0.441;
53;2030;;8.3;6.34;144.2;32.7;2544;0;0.201;0.444;1.0;792;0.441;
54;2030;;8.3;6.34;146.2;32.7;2544;0;0.201;0.444;1.0;792;0.441;
55;2030;;8.3;6.34;148.2;32.7;2544;0;0.201;0.444;1.0;792;0.442;
56;2030;;8.3;6.34;150.2;32.7;2544;0;0.201;0.444;1.0;792;0.444;
57;2030;;8.3;6.34;152.2;32.7;2544;0;0.201;0.444;1.0;792;0.446;
58;2030;;8.3;6.34;154.2;32.7;2544;0;0.201;0.444;1.0;792;0.447;
59;2030;;8.3;6.34;156.2;32.7;2544;0;0.201;0.444;1.0;792;0.449;
60;2031;;8.3;6.34;158.2;32.7;2544;0;0.201;0.444;1.0;792;0.451;
