fid;hierarchie;largeur_m;emprise_libre_m;stationnement;charge;canopee;longueur_m
46;rue;14;5.5;14;0.259;0.1;39.2
47;rue;14.7;6.2;37;0.091;0.1;102.3
48;rue;12.1;3.6;12;0.21;0.1;63.7
49;rue;12.7;4.2;19;0.06;0.1;103.8
50;boulevard;18;7.5;53;0.672;0.18;145.1
51;boulevard;18;7.5;33;0.656;0.18;90.4
52;boulevard;18;7.5;18;0.685;0.18;50.4
53;boulevard;18;7.5;14;0.786;0.18;39.7
54;boulevard;18;7.5;12;0.874;0.18;32.2
55;boulevard;20;9.5;47;0.881;0.18;128.8
56;boulevard;18;7.5;5;0.605;0.18;13.1
57;boulevard;18;7.5;12;0.648;0.18;33.7
58;boulevard;18;7.5;29;0.3;0.18;79.3
59;boulevard;18;7.5;17;0.442;0.18;47.1
60;rue;12.1;3.6;12;0.205;0.1;65.5
61;rue;12;3.5;6;0.2;0.1;30.9
62;rue;12;3.5;6;0.083;0.1;33.3
63;rue;10;1.5;0;0.147;0.1;26.9
64;rue;10;1.5;0;0.178;0.1;60.4
65;rue;10.8;2.3;20;0.141;0.1;108.3
66;ruelle;5;1;0;0.138;0.02;7.8
67;ruelle;6.5;2.5;28;0.044;0.02;152.5
68;rue;14;5.5;7;0.315;0.1;19.6
69;rue;14;5.5;12;0.268;0.1;33.1
70;rue;14;5.5;15;0.222;0.1;40.4
71;rue;14.7;6.2;37;0.081;0.1;101.4
72;rue;14.3;5.8;28;0.171;0.1;76.7
73;rue;15.2;6.7;70;0;0.1;193.5
74;rue;17.2;8.7;70;0.024;0.1;191.9
75;rue;16.4;7.9;52;0.385;0.1;144.2
76;rue;15.8;7.3;40;0.356;0.1;109.1
77;rue;17.3;8.8;71;0.336;0.1;196.2
79;rue;15;6.5;15;0.336;0.1;41.1
80;rue;15.4;6.9;29;0.109;0.1;81
81;rue;14;5.5;13;0.156;0.1;34.5
82;rue;15.8;7.3;60;0.108;0.1;166.1
83;rue;12.6;4.1;17;0.087;0.1;94
84;rue;12.5;4;16;0.073;0.1;90.1
85;rue;14;5.5;8;0.2;0.1;21.9
86;rue;12.1;3.6;12;0.094;0.1;67.9
87;rue;10;1.5;0;0.144;0.1;61.7
88;rue;11;2.5;22;0.033;0.1;119.1
89;rue;14;5.5;21;0.232;0.1;56.9
90;rue;12;3.5;1;0.272;0.1;8.2
91;rue;17.3;8.8;71;0.05;0.1;195.5
92;rue;13.2;4.7;27;0.113;0.1;74.9
93;rue;13.1;4.6;47;0.035;0.1;127.9
94;rue;10;1.5;0;0.135;0.1;45.1
95;rue;13.2;4.7;27;0;0.1;74.8
96;rive;10;3.5;16;0;0.05;87.9
97;rive;10;3.5;9;0;0.05;51
98;rue;10;1.5;0;0.085;0.1;50.3
99;ruelle;5;1;0;0.111;0.02;47.1
100;ruelle;5;1;0;0.037;0.02;38.4
101;rive;10;3.5;4;0.137;0.05;21.4
102;rive;10;3.5;7;0.182;0.05;38.9
103;ruelle;5;1;0;0.037;0.02;35.4
104;ruelle;5;1;0;0.008;0.02;48.3
105;ruelle;5;1;0;0.111;0.02;50.6
106;boulevard;22;11.5;0;0.224;0;101.2
107;rue;10.5;2;16;0.617;0.1;90.5
108;rue;10.5;2;16;0.072;0.1;90.1
109;rive;10;3.5;6;0.193;0.05;31.6
110;rive;10;3.5;12;0.171;0.05;66.7
111;rue;10;1.5;0;0.12;0.1;18.7
112;rue;10;1.5;0;0.161;0.1;43.5
113;rue;10;1.5;0;0.202;0.1;38.5
114;ruelle;5;1;0;0.116;0.02;46.2
115;ruelle;5;1;0;0.022;0.02;49.3
116;ruelle;5;1;0;0.012;0.02;61.8
117;ruelle;5;1;0;0.033;0.02;54.5
118;rue;13.1;4.6;23;0.116;0.1;64.2
119;rue;15.6;7.1;57;0.027;0.1;157.7
120;rue;17.7;9.2;81;0.019;0.1;222.6
121;rue;14.3;5.8;51;0;0.1;140.2
122;rive;10;3.5;28;0;0.05;155.4
123;rue;12.3;3.8;14;0.086;0.1;75.7
124;rue;12;3.5;8;0.145;0.1;44.1
125;rue;12;3.5;11;0.012;0.1;61.9
126;rue;10.1;1.6;0;0.181;0.1;65.2
127;rue;10.3;1.8;0;0.066;0.1;78.3
128;boulevard;22;11.5;0;0.108;0;56.2
129;ruelle;5;1;0;0.113;0.02;24.7
130;boulevard;22;11.5;0;0.147;0;98.7
131;ruelle;5;1;0;0.187;0.02;39.2
132;ruelle;5;1;0;0.152;0.02;27.7
133;ruelle;5;1;0;0.149;0.02;33.4
134;ruelle;5.2;1.2;0;0.016;0.02;70.6
135;ruelle;5;1;0;0.079;0.02;34.2
137;rive;10;3.5;6;0.019;0.05;30.3
138;rive;10;3.5;12;0;0.05;64.5
139;rue;15.3;6.8;28;0;0.1;75.9
140;rue;17.2;8.7;70;0;0.1;193.5
141;rue;13;4.5;10;0.078;0.1;26.8
142;rue;17.3;8.8;72;0.065;0.1;198.7
143;rue;14;5.5;19;0.056;0.1;51.5
144;rue;14.2;5.7;25;0.05;0.1;69.8
145;boulevard;20;9.5;15;0;0.18;40.4
146;rive;10;3.5;8;0.019;0.05;45.9
147;rive;10;3.5;2;0.019;0.05;11.4
148;rue;12.5;4;16;0.031;0.1;89.9
149;rue;12;3.5;3;0.083;0.1;17.4
150;rue;14.1;5.6;25;0.07;0.1;68.9
151;rue;14;5.5;20;0.083;0.1;54.3
152;rue;14.1;5.6;23;0.048;0.1;64
153;rue;14.4;5.9;32;0.042;0.1;86.9
154;rive;10;3.5;14;0.067;0.05;75
155;rive;10;3.5;8;0.08;0.05;42.6
156;rive;10;3.5;8;0.033;0.05;44.6
157;rive;10;3.5;21;0;0.05;116.2
158;rive;10;3.5;18;0.037;0.05;98.4
159;rue;12;3.5;6;0.06;0.1;35.3
160;rue;12;3.5;3;0.077;0.1;18.9
161;rue;12;3.5;7;0.091;0.1;35.9
162;rue;12;3.5;8;0.062;0.1;43.5
163;rue;14;5.5;21;0.063;0.1;58.7
164;rue;12.7;4.2;18;0.072;0.1;99.9
165;rue;12.3;3.8;14;0.031;0.1;78.7
166;rue;12.2;3.7;13;0.087;0.1;73.4
167;rue;15.9;7.4;63;0;0.1;172.9
168;boulevard;20;9.5;15;0;0.18;40.8
169;rue;12;3.5;6;0;0.1;35.7
170;rive;10;3.5;23;0;0.05;126.7
172;rue;13.1;4.6;24;0;0.1;65.9
173;rue;15.3;6.8;50;0.048;0.1;137
174;rue;17.2;8.7;70;0;0.1;192.6
175;rive;0;0;0;0;0.05;243.6
176;rive;0;0;0;0;0.05;269.7
177;rive;0;0;0;0;0.05;273.1
178;rive;0;0;0;0;0.05;226.5
179;rue;16.2;7.7;71;0.061;0.1;194.3
180;rue;15.3;6.8;49;0.053;0.1;135.2
181;ruelle;5;1;0;0.108;0.02;47.4
